781370262;;;;
#poses;f;isConstant;;
0;2317.65;0;;
2;2317.65;0;;
3;2345.13;0;;
4;2120.37;0;;
5;2009.79;0;;
6;1987.03;0;;
7;1978.54;0;;
8;1895.49;0;;
9;1852.47;0;;
10;2040.37;0;;
11;2137.02;0;;
12;2139.27;0;;
13;2100.66;0;;
14;2049.18;0;;
15;2047.56;0;;
16;1981.93;0;;
16;1971.12;0;;
17;1939.24;0;;
17;1913.04;0;;
18;1849.78;0;;
18;1834.23;0;;
19;1801;0;;
20;1809.02;0;;
21;1816.46;0;;
21;1818.87;0;;
22;1799.13;0;;
22;1802.02;0;;
23;1801.53;0;;
23;1803.46;0;;
24;1800.85;0;;
24;1800.57;0;;
25;1798.84;0;;
25;1799.16;0;;
26;1800.3;0;;
26;1799.84;0;;
27;1799.93;0;;
27;1794.96;0;;
28;1796.35;0;;
28;1793.91;0;;
29;1791.34;0;;
29;1790.59;0;;
30;1779.65;0;;
30;1775.04;0;;
44;1777.04;0;;
44;1779.88;0;;
